<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MSFT.US,D,19870112,000000,0.14307,0.15094,0.14307,0.15094,180658109,0
MSFT.US,D,19870113,000000,0.15094,0.15094,0.14307,0.15094,107053660,0
MSFT.US,D,19870114,000000,0.15094,0.15094,0.14307,0.15094,97439030,0
MSFT.US,D,19870115,000000,0.15094,0.15881,0.15094,0.15881,164135479,0
MSFT.US,D,19870116,000000,0.15881,0.15881,0.15094,0.15094,91783373,0
MSFT.US,D,19870119,000000,0.15094,0.15881,0.15094,0.15881,123778273,0
MSFT.US,D,19870120,000000,0.15881,0.16705,0.15881,0.15881,134322045,0
MSFT.US,D,19870121,000000,0.15881,0.17492,0.15881,0.16705,152177797,0
MSFT.US,D,19870122,000000,0.16705,0.18271,0.15881,0.18271,162761963,0
MSFT.US,D,19870123,000000,0.18271,0.19065,0.16705,0.16705,445908792,0
MSFT.US,D,19870126,000000,0.16705,0.17492,0.15881,0.16705,163489126,0
MSFT.US,D,19870127,000000,0.16705,0.18271,0.16705,0.17492,160055326,0
MSFT.US,D,19870128,000000,0.17492,0.18271,0.17492,0.17492,107619226,0
MSFT.US,D,19870129,000000,0.17492,0.18271,0.16705,0.16705,111133827,0
MSFT.US,D,19870130,000000,0.16705,0.18271,0.16705,0.18271,146118156,0
MSFT.US,D,19870202,000000,0.18271,0.18271,0.18271,0.18271,65807707,0
MSFT.US,D,19870203,000000,0.18271,0.18271,0.17492,0.17492,83219074,0
MSFT.US,D,19870204,000000,0.17492,0.18271,0.17492,0.17492,44518166,0
MSFT.US,D,19870205,000000,0.17492,0.18271,0.17492,0.17492,59828855,0
MSFT.US,D,19870206,000000,0.17492,0.17492,0.16705,0.16705,63989812,0
MSFT.US,D,19870209,000000,0.16705,0.16705,0.16705,0.16705,190878704,0
MSFT.US,D,19870210,000000,0.16705,0.16705,0.16705,0.16705,62656691,0
MSFT.US,D,19870211,000000,0.16705,0.17492,0.16705,0.17492,84592595,0
MSFT.US,D,19870212,000000,0.17492,0.19065,0.17492,0.19065,260524190,0
MSFT.US,D,19870213,000000,0.19065,0.19065,0.18271,0.19065,114688811,0
MSFT.US,D,19870217,000000,0.19065,0.19065,0.18271,0.19065,99216520,0
MSFT.US,D,19870218,000000,0.19065,0.19065,0.17492,0.17492,180375328,0
MSFT.US,D,19870219,000000,0.17492,0.17492,0.16705,0.16705,445706818,0
MSFT.US,D,19870220,000000,0.16705,0.16705,0.16705,0.16705,123293505,0
MSFT.US,D,19870223,000000,0.16705,0.18271,0.16705,0.18271,176618357,0
MSFT.US,D,19870224,000000,0.18271,0.19065,0.18271,0.19065,169467968,0
MSFT.US,D,19870225,000000,0.19065,0.19065,0.18271,0.18271,91177401,0
MSFT.US,D,19870226,000000,0.18271,0.19862,0.18271,0.19065,203684746,0
MSFT.US,D,19870227,000000,0.19065,0.19065,0.19065,0.19065,52678482,0
MSFT.US,D,19870302,000000,0.19065,0.19065,0.18271,0.18271,111537801,0
MSFT.US,D,19870303,000000,0.18271,0.18271,0.18271,0.18271,113759665,0
MSFT.US,D,19870304,000000,0.18271,0.19862,0.18271,0.19862,137715453,0
MSFT.US,D,19870305,000000,0.19862,0.21452,0.19862,0.20668,179809750,0
MSFT.US,D,19870306,000000,0.20668,0.20668,0.19862,0.20668,89157520,0
MSFT.US,D,19870309,000000,0.20668,0.20668,0.19862,0.19862,53688417,0
MSFT.US,D,19870310,000000,0.19862,0.21452,0.19862,0.20668,103943049,0
MSFT.US,D,19870311,000000,0.21452,0.21452,0.20668,0.21452,61525558,0
MSFT.US,D,19870312,000000,0.21452,0.21452,0.20668,0.21452,100064873,0
MSFT.US,D,19870313,000000,0.21452,0.21452,0.19862,0.20668,147451269,0
MSFT.US,D,19870316,000000,0.20668,0.20668,0.19862,0.20668,124101458,0
MSFT.US,D,19870317,000000,0.20668,0.21452,0.20668,0.20668,76513074,0
MSFT.US,D,19870318,000000,0.21452,0.22251,0.21452,0.22251,167407689,0
MSFT.US,D,19870319,000000,0.22251,0.22251,0.21452,0.22251,88107190,0
MSFT.US,D,19870320,000000,0.22251,0.22251,0.22251,0.22251,53648019,0
MSFT.US,D,19870323,000000,0.22251,0.23046,0.22251,0.22251,94651595,0
MSFT.US,D,19870324,000000,0.21452,0.22251,0.21452,0.22251,97641024,0
MSFT.US,D,19870325,000000,0.22251,0.22251,0.22251,0.22251,47467188,0
MSFT.US,D,19870326,000000,0.22251,0.22251,0.22251,0.22251,46820836,0
MSFT.US,D,19870327,000000,0.22251,0.23046,0.22251,0.23046,169548758,0
MSFT.US,D,19870330,000000,0.23046,0.23841,0.22251,0.23841,261089748,0
MSFT.US,D,19870331,000000,0.23841,0.2464,0.23841,0.23841,175810388,0
MSFT.US,D,19870401,000000,0.23841,0.2464,0.22251,0.22251,363901676,0
MSFT.US,D,19870402,000000,0.23046,0.23841,0.23046,0.23841,224368311,0
MSFT.US,D,19870403,000000,0.23841,0.2464,0.23841,0.2464,218268276,0
MSFT.US,D,19870406,000000,0.2464,0.2464,0.23841,0.2464,138806182,0
MSFT.US,D,19870407,000000,0.2464,0.2464,0.23046,0.23046,103417876,0
MSFT.US,D,19870408,000000,0.23046,0.23841,0.23046,0.23841,148986377,0
MSFT.US,D,19870409,000000,0.23841,0.23841,0.23046,0.23841,100388057,0
MSFT.US,D,19870410,000000,0.23841,0.23841,0.23841,0.23841,60838799,0
MSFT.US,D,19870413,000000,0.23841,0.23841,0.23046,0.23046,70493829,0
MSFT.US,D,19870414,000000,0.23046,0.23841,0.22251,0.23046,122566352,0
MSFT.US,D,19870415,000000,0.23841,0.23841,0.23841,0.23841,134604834,0
MSFT.US,D,19870416,000000,0.23841,0.2464,0.23841,0.2464,263836789,0
MSFT.US,D,19870420,000000,0.2464,0.2464,0.23841,0.23841,140704866,0
MSFT.US,D,19870421,000000,0.23841,0.2464,0.23046,0.23841,158762600,0
MSFT.US,D,19870422,000000,0.23841,0.2464,0.23841,0.2464,104751002,0
MSFT.US,D,19870423,000000,0.2464,0.2464,0.23841,0.2464,67787186,0
MSFT.US,D,19870424,000000,0.2464,0.2464,0.23841,0.2464,75987906,0
MSFT.US,D,19870427,000000,0.2464,0.2464,0.23841,0.2464,74493189,0
MSFT.US,D,19870428,000000,0.2464,0.26221,0.2464,0.26221,155813581,0
MSFT.US,D,19870429,000000,0.26221,0.27009,0.25425,0.25425,119455735,0
MSFT.US,D,19870430,000000,0.25425,0.26221,0.25425,0.25425,123495494,0
MSFT.US,D,19870501,000000,0.25425,0.26221,0.25425,0.26221,53082457,0
MSFT.US,D,19870504,000000,0.26221,0.27009,0.26221,0.26221,48436734,0
MSFT.US,D,19870505,000000,0.26221,0.28607,0.26221,0.28607,155692384,0
MSFT.US,D,19870506,000000,0.28607,0.28607,0.27821,0.27821,215319262,0
MSFT.US,D,19870507,000000,0.27821,0.29405,0.27821,0.29405,406359565,0
MSFT.US,D,19870508,000000,0.29405,0.31787,0.29405,0.30978,210471543,0
MSFT.US,D,19870511,000000,0.30978,0.30978,0.30189,0.30189,178678612,0
MSFT.US,D,19870512,000000,0.30189,0.30978,0.28607,0.29405,208249665,0
MSFT.US,D,19870513,000000,0.29405,0.30189,0.29405,0.30189,102933106,0
MSFT.US,D,19870514,000000,0.30189,0.30978,0.30189,0.30189,84107824,0
MSFT.US,D,19870515,000000,0.30189,0.30189,0.29405,0.29405,118284202,0
MSFT.US,D,19870518,000000,0.29405,0.29405,0.27821,0.28607,242102879,0
MSFT.US,D,19870519,000000,0.28607,0.28607,0.27821,0.27821,109881501,0
MSFT.US,D,19870520,000000,0.27821,0.27821,0.26221,0.27009,320312641,0
MSFT.US,D,19870521,000000,0.27009,0.27821,0.27009,0.27821,130888253,0
MSFT.US,D,19870522,000000,0.27821,0.27821,0.27009,0.27009,90652238,0
MSFT.US,D,19870526,000000,0.27009,0.27009,0.27009,0.27009,65767305,0
MSFT.US,D,19870527,000000,0.27009,0.27821,0.27009,0.27009,68393154,0
MSFT.US,D,19870528,000000,0.27009,0.28607,0.27009,0.28607,152420186,0
MSFT.US,D,19870529,000000,0.28607,0.29405,0.28607,0.28607,112749723,0
MSFT.US,D,19870601,000000,0.28607,0.28607,0.27821,0.27821,42538680,0
MSFT.US,D,19870602,000000,0.27821,0.28607,0.27821,0.27821,72311723,0
MSFT.US,D,19870603,000000,0.27821,0.28607,0.27821,0.27821,30338606,0
MSFT.US,D,19870604,000000,0.27821,0.27821,0.27821,0.27821,28601509,0
MSFT.US,D,19870605,000000,0.27821,0.27821,0.26221,0.27009,83138278,0
MSFT.US,D,19870608,000000,0.27009,0.27009,0.26221,0.27009,156500341,0
MSFT.US,D,19870609,000000,0.27009,0.27009,0.27009,0.27009,36236659,0
MSFT.US,D,19870610,000000,0.27009,0.27009,0.25425,0.25425,247233374,0
MSFT.US,D,19870611,000000,0.26221,0.26221,0.23841,0.23841,376909676,0
MSFT.US,D,19870612,000000,0.23841,0.25425,0.23841,0.2464,275148108,0
MSFT.US,D,19870615,000000,0.2464,0.2464,0.23841,0.2464,175648813,0
MSFT.US,D,19870616,000000,0.2464,0.25425,0.2464,0.2464,103135095,0
MSFT.US,D,19870617,000000,0.2464,0.25425,0.2464,0.25425,99701293,0
MSFT.US,D,19870618,000000,0.25425,0.26221,0.25425,0.26221,78815733,0
MSFT.US,D,19870619,000000,0.26221,0.26221,0.25425,0.26221,57243408,0
MSFT.US,D,19870622,000000,0.26221,0.26221,0.25425,0.25425,122647138,0
MSFT.US,D,19870623,000000,0.25425,0.25425,0.2464,0.25425,141351239,0
MSFT.US,D,19870624,000000,0.25425,0.26221,0.25425,0.26221,115981535,0
MSFT.US,D,19870625,000000,0.26221,0.26221,0.25425,0.26221,61767946,0
MSFT.US,D,19870626,000000,0.26221,0.26221,0.25425,0.26221,30782977,0
